,lsa_summarization summary
1180,"Tim Collins, the shadow education secretary, said last week it would be a ""huge boost"" to the party if Mr Hague returned to the front bench.Mr Hague, who stepped down after his party's 2001 election defeat, does not rule out a return to the front bench.He told the newspaper: ""I don't know whether I will ever go back on to the front, but don't rush me.""Mr Hague, 43, told the Daily Telegraph he would now find a life dominated by politics too ""boring"" and unfulfilling.He also told the paper he hopes to remain MP for Richmond, North Yorks, and start a family with wife Ffion.""Maybe I wasn't as driven by politics as I thought I was,"" he said.
""I had been in the Cabinet and been leader of the party, so now I can branch out into other things..."
1181,"We have suspended him as a member and as a candidate.UKIP candidate suspended in probe

Eurosceptic party UKIP have suspended a candidate for allegedly suggesting the criminally insane should be killed.

""He will remain suspended while the matter is being investigated and then we will decide if and what further action will be taken.""Mr Houston is alleged to have said that the organs of the criminally insane should be ""made available to law-abiding members of the community"" and proposed the legalisation of drugs and the sex trade.He said they might have been submissions to a committee working on the party's manifesto, but would not have been matched to Mr Houston when he was standing to become a candidate.""It is simply a distraction from the task in hand, the EU constitution, not individual idiocies.""He added: ""I can't comment too much at the moment, I have one version from him but I haven't seen the papers yet."
1182,"The lord chancellor hinted further reforms could be unveiled in the next Labour manifesto.

""We need to address the issue in the manifesto, but you will have to wait for when the manifesto comes.""""How it interacts with the Commons is a very, very important issue.""I think we need to look very carefully at the relationship between the Lords and the Commons,"" Lord Falconer told BBC1's Breakfast With Frost.In 1999 Labour removed all but 92 of the Lords' 750 hereditary peers.""Now we have to take care of it ourselves and make the best of it,"" she told the BBC's Breakfast with Frost.Baroness Boothroyd, who was the first woman to be Commons Speaker, said she believed Tony Blair initiated reforms without a clear outcome in mind."
1183,"UKIP spokesman Mark Croucher said the main issue would be that Mr Houston's reported views had been presented as UKIP policy, which they were not.
""

On the suspension of Mr Houston, UKIP said those who selected him knew nothing of his views.A spokesman for UKIP called on Mr Hockney to quit the London Assembly.UKIP asserts that Mr Hockney ""has a moral obligation, if not a legal one"" to stand down.Sources close to Mr Hockney said around eight other members of London UKIP were also planning to jump ship.

The news came after UKIP suspended a candidate for allegedly suggesting the criminally insane should be killed.John Houston, 54, was due to stand in the East Kilbride seat in Lanarkshire at the next election."
1184,"He remained an MP until 1995, when he resigned to become European commission for transport.Four years later he became vice-president of the European Commission, with responsibility for internal reform.""It is a good base for campaigning on national issues like education, sustainable transport, industrial change and the ageing society and global concerns, particularly poverty and oppression.""After a brief career as a tutor for the Workers' Educational Association, he became an MP at the age of just 28 for his home seat of Bedwellty (later Islwyn).A former critic of the House of Lords, he has said he will use the Upper House to advocate its reform and to talk on issues like higher education.As he assumes the title of Lord Kinnock, he has also become chairman of the British Council, which promotes the UK's reputation for arts, science and education.
""I accepted the kind invitation to enter the House of Lords as a working peer for practical political reasons,"" he said when his peerage was first announced."
1185,"The British government is a far greater threat that and terrorist organisation.

The perpetuation of the perceived terrorist threat is not because of what the 'alleged' terrorists are doing, but from our own government.The threat now is new.Terror powers expose 'tyranny'

The Lord Chancellor has defended government plans to introduce control orders to keep foreign and British terrorist suspects under house arrest, where there isn't enough evidence to put them on trial.

The very reason this country has been such a wonderful place to live, is under attack, not from terrorists, but from this government.As it stands terrorists do not need to attack the U.K. it's government will soon have it's people terrorised more that they could very achieve with a few bombs.

We have coped with fear without becoming a state based on fear; we have coped with threat without turning our country into a land of state threat."
1186,"Amicus has 1.2 million members and the TGWU has 800,000.The move by Amicus and the Transport and General Workers Union (TGWU) would be a seen as a bid to carry more weight with ministers and employers.Along with the GMB and Unison, the TGWU and Amicus worked closely together in the last year to hammer out a 56-point deal with Labour's leadership over equality at work, holidays and pensions - the Warwick Agreement.'Super union' merger plan touted

Two of Britain's big trade unions could merge to form a ""super union"" of two million members.

Amicus's executive was due to meet in any case although the TGWU is holding specially scheduled talks.
Any merger would have to be approved by the unions' executives and their membership.Both unions are remaining tight-lipped about the merger rumours, but one insider pointed out to the BBC News website that ""nobody is denying suggestions a merger could be on the agenda"" when the two unions' executives hold their meetings on Wednesday."
1187,"""I'm not at all German-bashing.He says he was not ""German-bashing"" but saying peace was the EU's founding aim.UKIP MEP attacked German 'empire'

A UK Independence Party MEP suggested Germany saw the EU as an 'empire' and was cheaper than using tanks, a new documentary has revealed.But challenged on the remark, he denied accusing Germany of using the EU as cover for a ""4th German Reich"".""It's like an empire for them spreading in all directions away from Germany into Hungary, into what they call the Sudetenland - Czechoslovakia, places like that.He argued that peace was the only reason for having the ""outdated"" EU as there was no economic justification.""So it's cheaper for them to do it this way than roll the tanks in."""
1188,"Good to see the parties of the right splintering in the way the parties of the left have always done.Man with tan leaves party with no plan, to set up party with no idea.

Veritas?Veritas?Good luck to Kilroy though I think he is doing more harm than good for both his new party and UKIP because their vote base is not strong enough for both parties to be successful and at the moment UKIP have the upper hand while Veritas are starting from square one and fighting a somewhat uphill battle.

Good luck to the man, I say.

Instead we have a split party and a damaged cause."
1189,"The Public and Commercial Services Union will co-ordinate any action with up to six other public sector unions.""For a government that lectures everyone on choice - choice on public service, choice on this and choice on that - isn't it ironic that they're saying to public sector workers there is no choice,"" he said.Deputy Prime Minister John Prescott held a private meeting with senior union figures on Thursday night.Our correspondent said that he understood no deal had been offered in that meeting but that there was room for further negotiations.Opposition to raising the retirement age is ""one thing all the unions are agreed on"", our correspondent added.There was ""some possibility"" of the strike action being avoided, he added.
BBC correspondent Stephen Cape said the combined unions represented ""a formidable force"" which could embarrass the government in the run-up to the General Election."
1190,"When asked about the future leadership of the party, he told ITV Wales' Waterfront programme: ""That contest is a long way away and it will occur only when the Prime Minister, Tony Blair, decides he's subscribed all he can and then wants to go.And the birth of the Blairs' fourth child, Leo, on 20 May, 2000, was the first child born to a serving prime minister in more than 150 years.Blair Labour's longest-serving PM

Tony Blair has become the Labour Party's longest-serving prime minister.

The last prime minister to be installed at a younger age was Lord Liverpool, who was a year his junior in 1812.

The 51-year-old premier has marked his 2,838th day in the post, overtaking the combined length of Harold Wilson's two terms during the 1960s and 1970s.In 1997, Mr Blair became the youngest premier of the 20th century, when he came to power at the age of 43.If Mr Blair wins the next election and fulfils his promise to serve a full third term, he will surpass Margaret Thatcher's 11 years by the end of 2008."
1191,"Dr Liam Fox told BBC One's Breakfast with Frost programme there was no place for ""vindictiveness"" in politics.""I don't believe in vindictiveness, I don't think that has any place in politics, unlike the prime minister and Alastair Campbell.Dr Fox was asked if he would say yes or no if Lord Archer applied to rejoin.""

Tory peer Lord Tebbit said he agreed with Dr Fox's view, and said the case should be looked at on its merits.""After all, he is far from being the worst perjurer in the world,"" he added.He said: ""I suppose, on a Sunday in particular, we should always make provision for forgiving sinners.He won damages after the newspaper printed allegations about involvement with a prostitute."
1192,"Labour peer Baroness Kennedy, who is chairing the Power Inquiry into political disengagement, said people already thought politicians engaged in dirty tricks.""In my experience of these things, parties which shout about dirty tricks and the like tend to do so because they fear a direct hit in some vulnerable part of their political anatomy.The European commissioner and former Labour minister was speaking amid claims that Mr Campbell is part of a Labour ""dirty tricks"" campaign.""

Mr Campbell is acting as an adviser for Labour, which denies engaging in personal campaigning.""This feeling of distrust is going to be enlarged if this campaigning on all sides is conducted in the way that it looks as if it just might,"" she said.
Conservative co-chairman Liam Fox said Mr Campbell's return and Labour poster plans attacking Mr Howard - recently withdrawn from the party's website - were a sign of ""abusive politics"".That was a reference to the Hutton inquiry following a BBC story claiming Downing Street ""sexed up"" Iraq's weapons of mass destruction dossier.

"
1193,"It also says there should be more state funding for political parties and candidates should be able to spend more on election campaigning.

And it suggests new ways of boosting election campaigning, seen as a way of improving voter turnout.The report suggests doubling the money which can be spent by candidates, while cutting national spending limits from Â£20m to Â£15m. The commission also says the spending limits for general elections should cover the four months before the poll - as happens with other elections.It also suggests increasing state funding for parties to Â£3mAnd there should be a shift in the amount of money allowed to be spent at elections from a national level to a local level to help politicians engage better with voters.

All local election candidates should be entitled to a free mailshot for campaign leaflets, says the watchdog.Fears that big donors can buy political favours have sparked calls for a limit."
1194,"The decision follows a ""tough meeting"" where some senior Tories argued vociferously against the move, party sources told the BBC.The party has been ""agnostic"" on the issue until now but had now decided to come off the fence, the Tory source said.""The Tories should have the courage to try and change public opinion not follow it.""Sources within the Conservative Party told the BBC Michael Howard has always been in favour of ID cards, and tried to introduce them when he was Home Secretary.The new chairman of the Bar Council, Guy Mansfield QC warned there was a real risk that people on the ""margins of society"" would be driven into the hands of extremists.""
They said they would also press Labour over whether objectives could be met and whether the Home Office would deliver them."
1195,"He predicted ultimately carrying the cards would become compulsory and that would lead to large numbers of Britain's ethnic minorities being stopped by police.
He added: ""When the police say that you have to take them seriously"".

He had decided to support the plans as the police said they would help fight terror, crime and illegal immigration.Mr Howard said the police had said ID cards could ""help them foil a terror bomb plot in which people could lose their lives"".They are going to be stopped.The Conservatives announced their support for the government plans on Monday evening.

""What is going to happen to young Asian men when there has been a bomb gone off somewhere?"
1196,"A day ahead of the government's pre-Budget report, Mr Kennedy used a speech to say his party was facing up to ""painful economic realities"".Speaking at the Commonwealth Club, Mr Kennedy said it was critical for a political party to have economic credibility, both on what it promised and what it was expected to deliver.""Budgets have to add up.Mr Kennedy made it clear he was determined to counter that accusation.Conservative co-chairman Liam Fox said: Liam Fox said ""If Charles Kennedy is serious about making his budgets add up he should start by explaining how they would fund their 100 spending commitments.Other parties have accused the Lib Dems of making uncosted promises.Mr Kennedy said: ""That contract with the people - that the government will only tax fairly and will spend their money wisely - can only be sustained if the political parties are straightforward about their plans."
1197,"He added: ""Here in this constituency of Bethnal Green and Bow there is a New Labour stooge MP.The Glasgow Kelvin MP, who was expelled from Labour over his anti Iraq war stance, accused Ms King of being a ""New Labour stooge"".In June's European Parliament elections, Respect failed to gain enough votes for an MEP but did come first in Tower Hamlets borough, most of which is covered by the Commons constituency of Bethnal Green and Bow.

Both the Conservatives and the Liberal Democrats have chosen prospective parliamentary candidates for Bethnal Green and Bow from the Bangladeshi population, which makes up almost half the electorate.Galloway targets 'New Labour' MP

George Galloway is to stand against pro-Iraq war Labour MP Oona King at the next general election.

A month later it gained a council seat in a by-election in St Dunstan's and Stepney Green ward, Tower Hamlets.The 50-year-old MP launched Respect, the Unity Coalition, in January along with 1,000 anti-war activists, and the Muslim Association of Britain."
1198,"""The PM said he was bound to tell Mr Thorpe that his colleagues had told him that they would not agree to serve under any other prime minister.""They feel they could not agree to serve as long as he is the prime minister.Mr Thorpe was at liberty to verify this by talking to one or two of the prime minister's colleagues.""""Jeremy said he was encountering a rather embarrassing problem with his colleagues about the prime minister personally,"" reads a telephone memo for Mr Heath.

Documents released after 30 years reveal the failed negotiations by the then prime minister following the dramatic February general election.it was not, I am very close to Ted and thought he was by far the most able man we had and he would be perfectly happy to serve - it was only some of his colleagues who were being difficult.""The following day, the stickling points had clearly become two-fold: Mr Thorpe's colleagues wanted electoral reform and Sir Edward's resignation."
1199,"Critics have accused the party of effectively buying votes.""With the advantages of public money the others have, the only way the smaller parties can get their message across is by buying the advertising space,"" he added.
UKIP outspent Labour on EU poll

The UK Independence Party outspent both Labour and the Liberal Democrats in the European elections, new figures show.

Labour's campaign cost Â£1.7m, the Lib Dems' Â£1.19m and the Greens' Â£404,000, according to figures revealed by the Electoral Commission on Wednesday.But a UKIP spokesman said Labour and the Conservatives had spent Â£10m between them on the last general election.Much of the UKIP funding came from Yorkshire millionaire Sir Paul Sykes, who helped bankroll the party's billboard campaign.UKIP, which campaigned on a slogan of ""Say no to Europe"", spent Â£2.36m on the campaign - second only to the Conservatives' Â£3.13m. The campaign took UKIP into third place with an extra 10 MEPs."
1200,"In a break with tradition, the party will ditch the leader's battle bus and daily press briefings in Westminster.It will not be a ""battle bus"" style campaign either, he said.

In previous elections, each party leader has had their own battle bus transporting national newspaper, television and radio reporters to staged campaign events around the country.In a break with the past, Labour will not hold a daily news conference in London.Labour battle plan 'hides Blair'

""In contrast Charles Kennedy will feature prominently in the Liberal Democrat campaign right across the country.Liberal Democrat chief executive Lord Rennard suggested Labour was avoiding news conferences in London because it wanted less scrutiny of its record and proposals."
1201,"We serve the country better if we make room for all the talent.""""There's room for everybody.""Making Michael Howard leader gives us an unmissable opportunity to remind people what it was like to pay mortgage rates of 15% even if it was more than a decade ago.""Mr Campbell has consistently made public his keenness to play a part in the poll, expected in May.Since leaving Downing Street, he has toured the country with his one man show, An Audience With Alastair Campbell and presented a number of interview programmes for Channel 4.
Labour strategists told the paper he would be ""set loose"" on Conservative leader Michael Howard in attacking his party's economic record when it was in power.The Hutton inquiry cleared him of ""sexing up"" the dossier in the run-up to the Iraq war."
1202,"He is the third Conservative MP to defect to Labour since 1997.
Conservative MP defects to Labour

A Conservative MP and former minister has defected to Labour.

""As he rightly says, [the Conservatives] have learned nothing from their two election defeats and are, if anything, drifting further rightwards,"" he added.""The Conservative Party's hostility to Europe has now hardened to the point at which it advocates the unilateral denunciation of Britain's treaty obligations,"" he wrote.

Prime Minister Tony Blair declared himself ""delighted"", saying Mr Jackson would be warmly welcomed by Labour MPs.Mr Blair said Mr Jackson was a ""decent, fair-minded and dedicated public servant... who will be warmly welcome by Labour MPs and members"".He added that it was not surprising Mr Jackson had chosen to leave the Conservatives."
1203,"He worked under Edward Heath on Europe at the Foreign Office and subsequently won the Eton and Slough seat for the Tories in 1964 - by 11 votes.Labour regained the seat two years later, and Meyer had to wait until 1970 before he could re-enter Parliament.Educated at Eton, and at New College, Oxford, he served in the Scots Guards from 1941 to 1945 and was wounded in tanks in Normandy.That in turn paved the way for John Major to move into 10 Downing Street, after the second ballot.Sir Anthony John Charles Meyer was born on 27 October, 1920.Meyer's constituency party, Clwyd North West, which he had represented as an MP for more than 20 years, deselected him as a result of that challenge.His prospects of a front bench slot remained remote because he tended to defy the party line.
"
1204,"The survey of a sample of 500 British 16 to 20-year-olds and 500 21 to 25-year olds ""showed Britain's young people are far from apathetic about issues that matter to most of their lives"".Research undertaken for voting watchdog the Electoral Commission suggests 81% of 16 to 20-year-olds feel strongly about issues like crime and education.Electoral Commission boss Sam Younger said: ""We know that young people often feel disengaged from democratic life and we believe in working creatively to encourage their interest and participation.""Mock elections can play an extremely valuable role in helping young people understand how the democratic process works and why it matters,"" he said.UK youth 'interested' in politics

The majority of young people are interested in politics, holding ""strong opinions"" on policies and have a ""keen appetite"" for direct action.

The Y Vote initiative is being run jointly by the Electoral Commission, the Hansard Society and the Department for Education and Skills in the run-up to local elections and the general election, possibly on 5 May.The survey findings are being released to coincide with the launch of the Y Vote Mock Elections 2005 initiative."
1205,"The Â£200 handheld computers can be used as a phone, pager or to send e-mails.The sound of a mobile phone or a pager can result in a strong rebuke from either the Speaker or his deputies.The devices gained new prominence this week after Alastair Campbell used his to accidentally send an expletive-laden message to a Newsnight journalist.The use of electronic devices in the Commons chamber has long been frowned on.The Speaker chairs debates in the Commons and is charged with ensuring order in the chamber and enforcing rules and conventions of the House.MPs issued with Blackberry threat

MPs will be thrown out of the Commons if they use Blackberries in the chamber Speaker Michael Martin has ruled.

He or she is always an MP chosen by colleagues who, once nominated, gives up all party political allegiances.
"
1206,"Other public sector unions have pledged to follow.The Public and Commercial Services Union (PCS) will co-ordinate any industrial action with up to six other public sector unions.Five public sector unions will hold private talks with Deputy Prime Minister John Prescott at Labour's spring conference in Gateshead.""For a government that lectures everyone on choice - choice on public service, choice on this and choice on that - isn't it ironic that they're saying to public sector workers there is no choice,"" he said.This would allow months of tough negotiations to follow, said our correspondent.Mr Prescott held a private meeting with senior union figures last week.Privately ministers believe this will be the ""less painful"" option, our correspondent added."
1207,"In four days, Unison will start balloting 800,000 local government workers on strikes.""

Unison's 800,000 workers, the Transport and General Workers' Union's 70,000 and Amicus' 20,000 are among those being balloted about a 23 March walkout.Up to 1.4 million workers could take part in strikes earmarked for 23 March.Stalemate in pension strike talks

Talks aimed at averting national strikes over pension reforms have ended without agreement after 90 minutes.

They want the government to withdraw regulations - due to be introduced in weeks - which would raise the pension age for council workers from 60 to 65.But a spokesman for Mr Prescott warned that the changes to the local government pension scheme would have to go ahead in April.

""If you want the pension you were promised when you started you must work for an extra five years - that is working until people drop."
1208,"Labour has said it wants to use savings reforms to Incapacity Benefit to improve the basic state pension and has set up a review of the council tax system.
He pointed to Tory plans to increase the basic state pension to reduce means testing, strengthen company pensions and encourage savings.Mr Lishman urged the next government to boost state pension.

He highlighted the party's promises to raise the basic state pension, provide free long-term care for the elderly and replace council tax, seen as a particular problem for pensioners on fixed incomes.""Labour's continued refusal to admit the true extent of the pensions crisis will be one of the monumental failures of this government.""For 57%, pensions and the NHS were key issues, while the economy was important for a third, and tax was a crucial area for 25%.

The report was welcomed by Conservative shadow pensions secretary David Willetts."
1209,"He was not ""forcing"" anyone to go to university, but places should be there for those who wanted them, he said.He insisted there was no plan for an invasion of the country saying: ""Sometimes people say because of what has happened in Iraq this is the next place.""He also dismissed claims government plans to get 50% of young people into university would devalue degrees.This was why he wanted to ""get out of the 30 seconds on the news,"" he added.

""You've just got to confront it and say to people let's have a discussion on the things that worry you, the things that make you say 'I can't trust you' or 'I am against you on this.'""By talking through policies at least people understood the reason for them, even if they did not agree with them, he said.The ""worst thing in politics"" was that the electorate only got ""little snatches of policy"" from things like Prime Minister's Questions and the news headlines."
1210,"He replied: ""The chief executive decided it was time to move on, there is a new chief executive coming in.""The head of the ""failing"" Child Support Agency widely reported to have resigned three months ago is still at the helm of the troubled organisation.

In January the MPs who make up the Commons Work and Pensions Committee published a highly critical report into the ""failing"" agency noting the chief executive ""has now left"" and hoping ""the new leadership will bring a fresh approach to what is a failing organisation"".

""The major issue is have we got a new chief executive coming into this very important agency as quickly as possible and have we gone through the right selection process to make sure we've got the right people,"" he added.
Mr Smith's departure was reported widely at the time as his shouldering the blame for the failings of the Child Support Agency.The CSA has been surrounded by controversy since its introduction in 1993 to assess and enforce child support payments by absent parents.

CSA chief who 'quit' still in job

"
1211,"""If you look what I do, I attack Michael Howard politically.The prime minister told the Jewish Chronicle: ""If you look at what I do, I attack Michael Howard politically.""I would never, ever, ever attack him on that basis.Blair moves to woo Jewish voters

Tony Blair has pledged to ""never, ever, ever"" attack Tory leader Michael Howard over his Jewish beliefs.

Another pictured the Tory leader swinging a pocket watch on a chain, which critics said echoed the Jewish money lender Shylock in Shakespeare's Merchant of Venice.

It's untrue.Well, he should do it."""
1212,"After that income would be taxed up to Â£100,000.The party says it would aim for a Â£5,000 tax-free personal allowance, or a Â£7,000 allowance for the over-65s.The Liberal Democrats want to do away with the council tax altogether and switch to a local income tax of the kind seen in the USA, Norway and Switzerland.Instead households where council tax payers are over 65 would get a rebate covering half their bill, up to a maximum of Â£500.Labour says it wants to retain the property-based tax but reform it to make it fairer and says there is scope for councils to become more efficient.The rate would be set locally, but administered by the Inland Revenue which they say would save at least Â£300m. They say the council tax is the most unpopular and most unfair tax in Britain, because it puts a ""ceiling"" on what the richest pay.They say they are already helping pensioners with council tax bills, with a Â£100 lump sum for the over-70s and last year the government capped some local councils' budgets to keep demands down."
1213,"If ethnic minorities were represented in the House of Commons in proportion to their numbers in the population, there would be 42 ethnic minority MPs.
Ethnic minorities make up 8% of the United Kingdom population but only 2% of MPs - 13 out of 659 - are from a visible minority group.Local councillor Lyn Brown was selected for West Ham, east London, in a contest between two white and five ethnic minority women.Last month the chairman of the Commission for Racial Equality (CRE) also called for ethnic minority shortlists in certain circumstances.Twelve of them represent Labour, and one is a Liberal Democrat.However, Labour has so far unable been unable to comment on the implications of the West Ham result.

Ashok Vishwanathan of Operation Black Vote, which aims to increase ethnic minorities' participation in the political process and their representation, said the result again showed all-women shortlists were not effective in getting minority women selected."
1214,"there needs to be consensus on reforms.""We are providing a consensus"".""The problem, I think, in the prime minister's mind is there doesn't appear to be a consensus that includes him,"" he said.Mr Clarke said the issue ""went to the heart of reforming the health of the British political system"".And Mr Tyler said the prime minister's view that there was no agreement on the shape of the future of the Lords was flawed.MPs and peers have failed to agree on reform since 1999 when 600 hereditaries lost their seats.""
"
1215,"He also earned up to Â£195,000 for a weekly column in the News of the World, and between Â£5,000 and Â£10,000 for presenting BBC'2's Have I Got News for You.He earns between Â£5,001and Â£10,000 for the work.

She also received up to Â£30,000 for acting as the Guardian's agony aunt and between Â£5,001 and Â£10,000 for appearing on ITV's Celebrity Fit Club.Ex-health secretary Alan Milburn earned up to Â£85,000 from speeches, articles and advice while not in the Cabinet.

His declared income of up to Â£205,000 also includes payments for being a consultant to the Tote and for his regular column in the Guardian newspaper.And former Foreign Secretary Robin Cook was paid between Â£45,001 and Â£50,000 for the paperback edition of his book about his resignation from government.His declared interests include Â£20,000 from newspaper articles and fees of up to Â£35,000 for four speeches."
1216,"Schools Minister Stephen Twigg said engaging young people's interest was ""essential"" to the future of democracy.

He added: said ""Young people who are engaged and motivated by the political process are essential to the future health of our democracy.""By experiencing the election process first hand - from running a campaign to the declaration of the final result - we hope that young people will develop the enthusiasm to take part in the future.""Michael Raftery, project manager at the Hansard Society, said: ""The Y Vote Mock Elections for schools mirror the excitement and buzz of a real election, raising awareness of citizenship, and the benefits of active democracy.""Some 600 schools have already signed up for the Y Vote Mock Elections 2005 run by the Hansard Society and aimed at boosting interest in politics.""The mock elections initiative provides an opportunity for pupils to develop their own understanding of how the democratic process works and why it matters.The mock votes will take place around 5 May, widely expected to be the date of the general election."
1217,"Parties build up poll war chests

The Labour Party received more than Â£5m in donations in the final quarter of 2004, new figures show.

The totals for the fourth quarter were well up on the same period of 2003, as the parties built up their war chests for the general election campaign.Registered political parties are required to set out each quarter all donations over Â£5,000 to their headquarters and over Â£1,000 to local constituency parties they receive.This is nearly half of the Â£11,724,929 received by 16 political parties listed by the Electoral Commission.It is an offence for a person to knowingly or recklessly make a false declaration about party donations.
This followed an earlier donation of the same amount earlier in 2004.Also among the gifts to the Tories were 24 donations totalling Â£161,840 from Bearwood Corporate Services."
1218,"He also criticised the cult of personality politics: ""There's far too much interest in celebrities.""Politics are in danger of becoming another branch of the celebrity industry.""""They are turned off by the way we do politics in Britain.it was not fair to blame the public who were ""more interested in politics than ever before"".Ex-foreign secretary Robin Cook said people were not apathetic but fed up of ""pager politics"" and not being heard.He, like Mr Kennedy, pointed to the hundreds of thousands of people who demonstrated against plans for the Iraq war.

""We should be not so afraid to say what we stand for."""
1219,"But the Conservatives and Liberal Democrats say they want the publication of the full legal advice given by the Attorney General.

Tory leader Michael Howard reiterated calls for the publication of the full legal advice given by the Attorney General, warning: ""This issue will not go away.""""The public interest, which the government claims justifies non-publication of the whole of the advice, can only be served now by the fullest disclosure.The prime minister's official spokesman also rejected the claims, saying: ""The attorney general made it clear the words and the judgement were his.""Iraq advice claim sparks new row

The Tories say ministers must respond in Parliament to claims that the legal advice used to justify the Iraq war was drawn up at Number 10.

Liberal Democrat foreign affairs spokesman Menzies Campbell repeated his party's calls for Lord Goldsmith's first piece of legal advice to be made public.This would be wrong even if Lord Goldsmith had signed the statement, Mr Cook said, because the attorney general's advice should be an ""independent legal opinion"", not subject to ""political negotiation of this kind"".
"
1220,"Mr Hockney said the law worked in exactly the same way for the GLA as it did for other electoral list systems.Damian Hockney, now Veritas deputy leader, and Peter Hulme-Cross were elected in 2004 on the list system.He said Mr Hulme-Cross and himself had no intention of resigning and added that they felt that it was UKIP who were not being true to the electorate.Mr Hockney said the law was clear that those elected on a list who quit their party should keep their seats.Veritas was formed by Mr Kilroy-Silk earlier this month after he quit UKIP following an unsuccessful bid to take over as leader.
UKIP chairman Petrina Holdsworth urged the men to step down from the GLA in a letter.

But the claim was denied by UKIP spokesman, who said: ""Mr Hockney's accusations are like his sense of political morals - empty."""
1221,"So who, if anyone, is playing politics with the security of the nation?

Liberal Democrat leader Charles Kennedy avoided suggesting anyone was playing politics with the issue.And perhaps that simple fact alone means everyone is seen to be playing politics with just about everything at the moment.
And they believe Tony Blair is using the issue to suggest the Tories are soft on terrorism.And that is more important to them than national security.The prime minister claims this is the clearest indication that it is the Tories who are playing politics with the issue by attempting to score cheap political points in parliament.Later Birmingham's Sion Simon even went so far as to suggest the Tories were such a shower that we should have the general election now."
1222,"""That's what he (Lord Goldsmith) said and that's what I say.Lord Goldsmith said Lord Falconer and Baroness Morgan played no part in drafting the answer.He also says Lord Goldsmith warned Tony Blair on 7 March 2003 that the Iraq war could be illegal without a second UN resolution sanctioning military action.

In a statement, Lord Goldsmith said: ""I was fully involved throughout the drafting process and personally finalised, and of course approved, the answer.""A short statement about Lord Goldsmith's position presented in a written parliamentary answer on 17 March 2003 - just before a crucial Commons vote on the military action - did not suggest this.He suggested the claim that Lord Falconer and Lady Morgan had drafted the answer were the result of a mis-transcription of his evidence to the Butler Inquiry into pre-war intelligence.The claims about Lord Falconer and Baroness Morgan's involvement were made in a book published this week by Philippe Sands QC, a member of Cherie Blair's Matrix Chambers."
1223,"The government has resisted calls to publish the full advice, saying such papers are always kept confidential.""The answer did not purport to be a summary of my confidential legal advice to government.""""

Tony Blair has dismissed questions about the attorney general's advice, and said his Parliamentary statement had been a ""fair summary"" of his opinion.Mr Mates added: ""This may be one of those special occasions... when it would be in the public interest to see the advice which the attorney general gave to the prime minister.""""The attorney general may never have presented his answer as a summary, but others certainly did,"" he said.He said there had been other occasions when advice had been published, most recently regarding Prince Charles's marriage plans.The government could not pick and choose when to use the convention, he said."
1224,"The strategist helped Australia's PM, John Howard, win four elections.Tory expert denies defeat warning

The Conservatives' campaign director has denied a report claiming he warned Michael Howard the party could not win the next general election.

Mr Howard later added there was not ""one iota"" of truth in the report.""
and I do not hold that view.""It added: ""The Labour Party will be wanting to do all they can to distract attention away from the issues that really matter to people.Mr Howard appointed Mr Crosby as his elections chief last October."
1225,"Colin Asplin, Blackpool Hotel Association said: ""We have tried very hard to make sure they come back to Blackpool.The exact cost to Blackpool in terms of lost revenue for hotel accommodation is not yet known but it is thought that block bookings will be taken at the major Manchester hotels after the official announcement.
Blackpool will get the much smaller February spring conference instead in what will be seen as a placatory move.

And the news the much larger annual conference is not to gather in Blackpool will be seen as a blow in the coastal resort.Manchester wins Labour conference

The Labour Party will hold its 2006 autumn conference in Manchester and not Blackpool, it has been confirmed.

I just hope Manchester can handle the crowds.In 1998 the party said it would not return to Blackpool but did so in 2002."
1226,"It showed Mr Howard and Mr Letwin - who are both Jewish - as flying pigs.Mr Howard told Greater Manchester Radio: ""It is such a pity that Mr Blair doesn't practise what he preaches.The poster shows Mr Howard hypnotising people with a pocket watch, saying: ""I can spend the same money twice.""The party will now use focus groups to test a poster showing Mr Howard and shadow chancellor Oliver Letwin with a blackboard reading: ""2+2=5"".

The image simply portrayed Mr Howard as a hypnotist, he argued.Mr Howard did not comment on the anti-Semitism claims when asked about the poster on Monday.""Shylock and Fagin are inextricably linked to notions of centuries-old prejudice,"" he told BBC Radio 4's World At One."
1227,"The posters were among a series of ideas shown to Labour members, who were asked to vote on their favourite.The posters were among a series of ideas shown to Labour members, who have been asked to choose which one should be used ahead of the election.Labour has taken them off its website, saying members preferred other posters.Labour has withdrawn two controversial posters and launched four new designs.

The posters were labelled a ""big misjudgement"" by the Conservatives who said Labour's ""first shot in the election has badly backfired"".

The Fagin and pigs might fly posters were taken off Labour's website on Monday after supporters voted for their favourite poster featuring Mr Howard and shadow chancellor Oliver Letwin holding a blackboard reading 2+2=5.""I fully understand and indeed respect the views of those who have concerns about any poster designs that have appeared on the Labour Party website."""
