,text_matching_algorithm summary
1007,"Blair 'damaged' by Blunkett row

A majority of voters (68%) believe the prime minister has been damaged by the row over David Blunkett's involvement in a visa application, a poll suggests.

Some 63% of respondents in the Sunday Times poll thought his former lover - Kimberly Quinn - acted vindictively and 61% that he had been right to resign.Forty-three per cent thought Mr Blunkett had done a good job as home secretary and 17% disagreed.Some 82% said Mr Blunkett had set a good example by wanting to take responsibility for the child he says is his, but 42% backed his legal action compared to 45% who thought it was unbecoming.Three-quarters said Mr Blunkett was right to go to court for the right to see Mrs Quinn's son - whom he says he fathered - and just 14% voiced sympathy for Mrs Quinn.A majority, 52%, said Chancellor Gordon Brown had done a good job and just 16% disagreed.

Meantime, 32% said Mr Blair was a good prime minister and 38% disagreed."
1008,"MP's shock at long lost daughter

Labour MP Stephen Pound has told of his shock and his joy on learning he fathered a daughter when he was ""out of control"" during the ""wild"" 1960s.

""It was a pretty horrible thing with a pretty happy ending.It was a different time - it was pretty wild.Lucy, who was adopted by a family from Essex, wants to remain anonymous for the sake of her adoptive father and her children.Lucy, 36, tracked down Mr Pound after her birth mother told her he was known as ""Precious"" at school.I was pretty much out of control.Mr Pound said his wife Maggie had been fully supportive and their two children Emily, 16, and Pelham, 14 were pleased to have an older sister.
"
1009,"The ballot will ask residents to vote for or against the council's proposed congestion charge scheme and a host of transport improvements to be funded by it.Green fear for transport ballot

The Green Party is concerned thousands of residents may not be able to vote in Edinburgh's transport referendum.

Towards the end of February, the council will meet to decide whether to proceed with an application to Scottish ministers for approval for its planned congestion charging scheme and the other parts of its transport package.
However, there is still time for those who are not on the list to contact the council and make sure they are sent ballot forms ahead of February's voting deadline.Local authorities can only send ballot papers to those on the edited list over non-statutory matters, such as the transport referendum.The outcome of the referendum will be known next month after the ballot forms are sent out and returned to the council.""Everyone involved in this debate - both for and against - wants the ballot to be as fair and representative as possible, and that means encouraging people to take part."""
1010,"Professor Allsop said: ""Reducing the limit from 80mg to 50mg can be expected to save around 65 lives a year or around half of those who die in accidents where the driver's BAC [blood alcohol content] is within 30mg of the current limit.Road safety head Andrew Howard said: ""It remains to be seen whether the social disapproval of the drinking driver will stay at the current rate if the alcohol limit is cut.

The findings are based on the assumption that drivers who currently keep below the legal limit would continue to do so were it to be lowered and that those who tend to exceed the limit slightly would also lower their drinking.University College London research claims cutting the limit from 80mg of alcohol per 100ml of blood to 50mg would save 65 lives a year.""

Ministers do not support a lower limit, saying it is not clear it would have a major impact on drink drive casualties.New drink limit 'would cut toll'

More lives than previously thought could be saved by cutting drink-drive limits by a third, a report says.

The research, carried out by transport expert professor Richard Allsop, says cutting the limit would also lead to 230 fewer serious injuries on the UK's roads compared with 2003."
1011,"The report urged the CSA to draw up contingency plans, including the ""abandonment option"", to be presented to Parliament by Easter, in case the CS2 computer system could not be made to work.

A report by the Commons work and pensions committee called for the agency to be wound up unless it improved its service within weeks.And responding to calls for the agency to be scrapped, Mr Johnson told BBC Radio 4's Today programme: ""I certainly wouldn't rule out the nuclear option of moving to a completely new system.""But I think the select committee would agree with me we would only do that when we were absolutely convinced that this system just isn't going to work.It blamed the agency's senior management for a ""multitude of problems"" within the agency, including for an apparent lack of training of frontline staff.
Faced with the committee's criticism, the government has suspended its plan to cut the agency's staff by 25%.""

The MPs launched their inquiry into the CSA's performance after it became clear that, despite the introduction of a simpler system of calculating maintenance payments for new cases in 2003, a backlog of claims was building up."
1012,"The lord chancellor currently has the role of House of Lords speaker.""I don't go for the idea of somebody - a lord chancellor - who is head of the judiciary, a senior Cabinet minister and Speaker of the Lords.Lady Boothroyd said she believed it was unacceptable for the lord chancellor to have the role of Speaker.The lord chancellor hinted further reforms could be unveiled in the next Labour manifesto.

""We need to address the issue in the manifesto, but you will have to wait for when the manifesto comes.""Boothroyd calls for Lords speaker

Betty Boothroyd has said the House of Lords needs its own Speaker and that peers should lead the way on reforming the upper chamber.

He is also head of the judiciary and a member of the Cabinet as constitutional affairs secretary.

"
1013,"Bid to cut court witness stress

New targets to reduce the stress to victims and witnesses giving evidence in courts in England and Wales have been announced by the lord chancellor.

Another feature of the strategy is constitutional reform, with a government bill to set up a supreme court and a judicial appointments commission returning to the House of Lords on Tuesday.Lord Falconer told BBC Radio 4's Today programme it was impossible for some elderly people to go to court to give evidence.The person in charge of the court system should not also be speaker of the House of Lords, he said, and should be the best person chosen from either House of Parliament.Ministers say the strategy is aimed at re-balancing the court system towards victims, and increasing the number of offenders brought to justice.""

The plan comes as the lord chancellor also considers allowing cameras into courts for the first time since 1925, as long as they were used for cases that did not involve witnesses.""Courts, judges, magistrates, prosecutors, police and victim support - all working together to ensure the rights of victims are put first, without compromising the rights of the defendant."""
1014,"""A great judge, a great lawyer and a great man.""""His great quality was the ability to listen to young people of all backgrounds, many of whose language he could barely understand, genuinely to hear what they had to say and to talk to them as human beings.""He was a lawyer and a judge who had a remarkable insight into human nature, and an exceptional sensitivity to the needs of a healthy society,"" he said.Lord Scarman, 93, dies peacefully

Distinguished lawyer Lord Scarman, who conducted the inquiry into the 1981 Brixton riots, has died aged 93.

Lord Scarman will be remembered for the public inquiry he led into a string of race riots which began in Brixton when racial tensions rose after a police crackdown on street robbery.""He was, personally, totally charming and he will be remembered with great affection and admiration by all who came into contact with him.The inquiry famously settled on the so-called ""rotten apples"" theory, which argued that only a few police officers were racist, saying most were not."
1015,"Mr Howard acknowledged the prince's apology and said he had no doubt the prince's father and family would have much to say to him privately about the incident.Mr Howard, whose grandmother died in Auschwitz, said many people would be offended by the prince's actions Clarence House has issued a statement saying the prince has apologised and realised it had been a poor costume.Tory leader urges Harry apology

Prince Harry should personally make clear how sorry he is about wearing a Nazi uniform to a friend's fancy dress party, says Tory leader Michael Howard.

But former Buckingham Palace press spokesman Dicky Arbiter said the prince should make a personal, broadcast apology.Mr Clarke said he recognised people's concerns about the costume but argued: ""He has apologised and I think we should leave the matter there.It is about common decency, of respect to the people who fought the Nazis, to the families of those who were killed by the Nazis and to people who suffered during the Holocaust.""A photograph of Prince Harry wearing a swastika armband and German desert uniform at the party appears in Thursday's Sun newspaper under the headline: ""Harry the Nazi."""
1016,"Welsh Health Minister Jane Hutt said no patient would wait more than 12 months for an outpatient appointment by March 2006, against a current target of 18 months.This current inpatient target was set when the assembly government extended its second offer guarantee scheme, which gives patients the option of having their treatment outside Wales.

NHS waiting time target is cut

Hospital waiting times for patients in Wales are to be cut, but not to the same extent as those in England.

Rhodri Glyn Thomas, Plaid Cymru health spokesman said: ""It's exactly the same target she set in 1999, with the qualification that it's dependent on a second offer.But she said the target for an inpatient appointment would remain at 12 months for March 2006.Meanwhile, the latest monthly waiting list figures showed the total number of people waiting more than 18 months as an inpatient in Wales has fallen by 9.8%.""But let us not forget two thirds of those waiting for treatment now are waiting less than six months, and these targets affect the small minority of patients in Wales that are waiting far too long."""
1017,"- They will also have to show they are unlikely to be a danger to public health and are unlikely to ""impose significant costs or demands"" on the NHS. 
 - People coming to settle in the UK permanently from outside the EU will have to ""demonstrate they have an acceptable standard of health"". 
 Immigration minister Des Browne quoted its five-year plan for immigration and asylum, as saying: ""We are implementing our existing powers by targeted health screening for TB in high-risk areas at the entry clearance stage.""In fact, it would be more likely to drive people with health conditions to falsify tests while others gain entry by simple dint of their EU status,"" she said.
The proposals include:

- People coming to the UK from outside the EU for between six and 12 months from a ""high incidence TB country"" will have to undergo a chest X-ray. 
 Only the discovery of TB will mean people will be automatically denied a visa, other conditions will be dealt with on a ""case by case basis"".

The proposals, which would be brought in if the Conservatives won the General Election, would not apply to people coming to the UK for less than six months unless they intended to work in health or childcare or teaching."
1018,"The sound of a mobile phone or a pager can result in a strong rebuke from either the Speaker or his deputies.The devices gained new prominence this week after Alastair Campbell used his to accidentally send an expletive-laden message to a Newsnight journalist.The Â£200 handheld computers can be used as a phone, pager or to send e-mails.The use of electronic devices in the Commons chamber has long been frowned on.The Speaker chairs debates in the Commons and is charged with ensuring order in the chamber and enforcing rules and conventions of the House.MPs issued with Blackberry threat

MPs will be thrown out of the Commons if they use Blackberries in the chamber Speaker Michael Martin has ruled.

He or she is always an MP chosen by colleagues who, once nominated, gives up all party political allegiances.
"
1019,"Meanwhile Ms Hutt said she hoped ""that the people of Wales would benefit from my investment of the past five years and eight months"" Asked about waiting lists, she said that waiting times and lists were ""only 10% of the health agenda"" and that the Welsh Assembly Government had ""turned the corner"" on the issue.
He also acknowledged that until the waiting list issue was sorted out, the rest of the assembly government's health policy would be overshadowed.

Wales 'must learn health lessons'

The new health minister for Wales says there are lessons to learn from England in tackling waiting lists.

One of the biggest problems which had faced Ms Hutt during her five-and-a-half years as the assembly's first health minister was the length of waiting lists in Wales.

Later, Dr Gibbons praised the work of Ms Hutt, saying he ""agreed with everything she's done"" to change the health service in Wales.""We do need a consistent across-the-board approach, recognising the patients' experience of how they use the service is going to be, at the end of the day, the main test of how the service is working.""In November the British Medical Association said NHS staff were ""weeping with despair"" as figures showed 311,000 people were waiting for treatment in Wales, up by 2,400 on the previous month."
1020,"""The problems for the human race - environmental and others - can only be dealt with on a global scale, and that calls for a radical alliance of the English-speaking nations, which they are uniquely able to do.""UKIP candidate suspended

Eurosceptic party UKIP have suspended a candidate for allegedly suggesting the criminally insane should be killed.

He said they might have been submissions to a committee working on the party's manifesto, but would not have been matched to Mr Houston when he was standing to become a candidate.Mr Houston is alleged to have said that the organs of the criminally insane should be ""made available to law-abiding members of the community"" and proposed the legalisation of drugs and the sex trade.""It is simply a distraction from the task in hand, the EU constitution, not individual idiocies.""We have suspended him as a member and as a candidate.Mr Houston was quoted in the Herald newspaper saying: ""I feel UKIP have over-reacted and overshot the runway."
1021,"The French president told reporters: ""Europe today has more than ever the need, the necessity, to reinforce itself and its dynamism and unity.""

Mr Chirac will miss an address to the summit from Iraqi interim leader Iyad Allawi, who this week criticised nations which took a ""spectator"" role to Iraq's reconstruction.He said some people were in ""a sort of state of denial"" about the US election result but predicted a more ""receptive mood"" would emerge soon.Mr Chirac denied there was any snub - he is going to a memorial service for the United Arab Emirates' late leader and says he would be happy to meet Mr Allawi.The meeting will also assess progress on the economic reform plans agreed in Lisbon in 2000 to make Europe more competitive.
The rest of the world should listen,"" the prime minister said in an interview with The Times newspaper, published on Friday.The summit is also expected to agree changes to streamline European asylum and immigration decisions."
1022,"His proposals were effectively a new ""Marshall Plan"" for the world, including an international finance facility, which would issue bonds in an attempt to double global aid cash to $100bn a year.It was pathetic that Britain was the 4th richest country in the world but only the 11th most generous aid donor, he added.He told BBC Radio 4's Today programme: ""We need more resources allied to progress on trade and progress on debt relief if we are going to make an impact on the problems of ill health, of illiteracy, of poverty, particularly in Africa but right through the developing countries.The charity's director, Barbara Stocking, said: ""2005 offers the chance for an historic breakthrough, but unless world leaders act now the year will end in shameful failure.""Mr Blair, who has described Africa as a ""scar"" on the world's conscience, has already said tackling world poverty would be one his G8 priorities along with climate change and the Aids epidemic.Oxfam's Paying the Price report this week said 45 million children will die needlessly before 2015 and aid budgets are half their 1960 levels.Brown to outline presidency goals

Next year will be ""make or break"" for development in poorer countries Gordon Brown will say as he sets out UK goals for its EU and G8 presidencies.

"
1023,"Mr Brown said he was set to meet his two fiscal rules - to borrow only to invest and keep debt ""low and sustainable"" - both in this economic cycle and the next.Brown shrugs off economy fears

Gordon Brown is to freeze petrol duty increases, fund a Â£1bn package to avoid big council tax rises and boost childcare and maternity leave.

The shadow chancellor said Mr Brown's ""golden rule"" had ""turned to dross in his hands"" and said he was borrowing to spend, not invest, with predicted debt over the coming years totalling Â£170bn.In a move ministers say should keep council tax rises below 5% next year, the chancellor said he was providing an extra Â£1bn for local councils.It includes a Â£285m cash injection to extend paid maternity leave from six months to nine, with parents able to transfer leave from the mother to the father.He said: ""Last week the prime minister gave us the politics of fear; this week the chancellor has offered the economics of complacency.Simon Sweetman, from the Federation of Small Businesses, said: ""The proposals on maternity leave have clearly been made with a general election in mind and with little thought to the impact on small employers."
1024,"UK troops on Ivory Coast standby

Downing Street has confirmed British troops are on standby in case they need to help evacuate several hundred UK citizens from Ivory Coast.

France has played a lead role in international peacekeeping in Ivory Coast - a former colony - after President Laurent Gbagbo broke an 18-month ceasefire with rebels bombing their positions and killing the nine French soldiers.Prime Minister Tony Blair's official spokesman said: ""There are British nationals in Ivory Coast and as you can imagine we are making the usual contingency plans in case the situation deteriorates further, but that's all I can say at this stage.The decision to destroy the African nation's small air force prompted riots against French and other foreign nationals.The Spanish have already put their forces on standby to evacuate their nationals if necessary.
A company of 100-120 UK troops is understood to have been put on standby.""

He added the situation would be monitored carefully in case evacuation became necessary."
1025,"Blair told to double overseas aid

Tony Blair is being urged to use all his negotiating powers to end poor countries' debt and double aid.

The report said: ""For rich countries, providing aid to help to end global poverty is an obligation and a matter of justice, not an act of charity.""A spokeswoman for the Department for International Development said: ""The government had made a clear commitment to reaching 0.7% of gross national income for overseas development aid by 2013.Mr Blair, who has described Africa as a ""scar"" on the world's conscience, has already said tackling world poverty would be one his G8 priorities along with climate change and the Aids epidemic.""The world's poorest children are paying for rich countries' policies in aid and debt with their lives.""2005 offers the chance for an historic breakthrough, but unless world leaders act now the year will end in shameful failure,"" the charity's director added.""These additional resources will be used to increase UK bilateral aid to Africa to at least Â£1.25bn a year by 2008 and spend at least Â£1.5bn on HIV/Aids related work over the next three years."
1026,"""Given these circumstances, and the fact that RAF Fairford, and other military installations in the UK, had been the scene of increasingly destructive disorder in the weeks preceding this incident, the police commander on the ground made the decision to turn back the coaches.Peace demo appeal rejected

Peace protestors have lost a landmark appeal over police actions in stopping an anti-war demonstration days after the start of the Iraq war.

It followed action by police, when three coachloads of people were searched and detained on the way to RAF Fairford and forced to return to London under police escort.They had appealed against a High Court decision that it was not unlawful for police to forcibly turn protestors away near RAF Fairford, Glos, in 2003.The police had also sought to overturn a breach of human rights ruling arising from the same case.""From day one we have vigorously defended this decision, which was made out of a genuine concern that if the coaches were allowed to proceed it would have resulted in disorder and criminal damage at RAF Fairford.""The police were urging Lord Chief Justice and Lord Justices Clarke and Rix to overturn the ruling that they had breached the protestors' human rights by detaining them in the coaches."
1027,"Speaking at the London conference he said: ""Generalised stereotypes of people past state pension age as dependant, incapable and vulnerable are a particularly pernicious form of age discrimination"".

""We're sweeping them away entirely for people under 65, and we're giving those above that age a right to request to work past 65 which their employers will have to engage with seriously.This was why the government was considering scrapping the retirement age entirely, Alan Johnson said.Retirement age could be scrapped

The ""myth that ageing is a barrier"" to contributing to society needs to be ""exploded"", the work and pensions minister has said.

""And the review in 2011, which will look at whether it is time to sweep retirement ages away entirely, is to be tied to evidence ... showing that retirement ages are increasingly outmoded"".It was also committed to ""stamping out"" age discrimination and would outlaw it, he told a conference on ageing.The government wanted to tackle this by moving to a culture where retirement ages were ""increasingly consigned to the past""."
1028,"Ms Jowell complained of the ""scale of misrepresentation"" in the media over the bill in her interview with the newspaper, her first since the bill was launched.In prime minister's questions last week Tony Blair assured Parliament that 90% of the bill was about tightening up the regulation of the gambling industry.
The culture secretary said a four year consultation period had produced a consensus on the need to ""protect children and the vulnerable"" in a swiftly changing sector.The MP for Ealing North claimed the legislation would encourage a mafia-like culture of vice and corruption, in an interview on BBC Radio 4.Ms Jowell insisted: ""We have a good track record for extracting planning gain in this country, for instance in social housing.""And continued: ""We can be proud to have one of the lowest rates of problem gambling in the world.And over all of it hangs the shadow of the men in the chalk-stripe suits with names that rhyme with spaghetti,"" he said.

"
1029,"We will keep these hounds going, we will keep this community going and in the end we will come back and hunt when hunting is legal again,"" hunt master, Captain Ian Farquhar, said.As well as being able to mount a hunt for an artificial scent, it will still be legal for the hunts to ""flush out"" foxes, as long as they shoot their quarry rather than set the hounds on them.Ban on hunting comes into force

Fox hunting with dogs is now illegal in England and Wales after a ban on the activity came into force overnight.

""You can hunt a rat, but not a mouse, a rabbit but not a hare, an artificial scent, but not a real one,"" he said.

Chief police officers spokesman Nigel Yeo said he expected most people would obey the law - by drag hunting or chasing foxes then shooting them.He said had the government not prevaricated since 1997 in introducing the ban, hunting with dogs would have passed into history like other former country pursuits such as otter hunting and badger baiting.""The definitions of legal and illegal hunting are so blurred that the police are being asked to make impossible judgements."
1030,"The British public has now pledged Â£76m in aid with emergency supplies from the British government starting to arrive in the region on three RAF flights in a joint operation with Scandinavian countries.Blair says UK tsunami aid to soar

Tony Blair has predicted the British Government will eventually give ""hundreds of millions"" of pounds in aid to countries hit by the tsunami.

The prime minister took personal charge of the UK's response on Tuesday, chairing a meeting of the emergency committee of ministers that has convened daily since Boxing Day.""I think they feel - as we all do - shock, horror, and absolute solidarity with those people who have lost their lives.""UK charities have also begun chartering planes to deliver aid.


 - A BBC News Special: Asia Remembered, including the three-minutes silence, will be shown on BBC One and BBC News 24 from 1130 to 1215 GMT on Wednesday.
""My estimate is we will need to spend from government several hundred million pounds.Asked about criticism that he did not cut short his holiday, Mr Blair told BBC Radio 4's Today programme: ""I don't think this is a situation in which the British people need me to articulate what they feel.

"
1031,"""The code of conduct is much more effective, it's a more powerful tool of and we intend to strengthen it as a pre-condition of lifting the embargo with China,"" he said.

Straw attacked on China arms

Moves to lift the European Union's ban on arms exports to China have been condemned by human rights groups and the Conservatives.

Mr Ancram argued: ""What the British Government is doing is giving in to French and German pressure, especially the French, who see vast contracts available to them if the embargo is lifted... ""It gives the wrong signals to China, who are simply not prepared to accept that what happened at Tiananmen Square was wrong.""In the UK, more export licences were refused under the existing European Union arms code than under the embargo, he said.UK Foreign Secretary Jack Straw, who will hold talks in Beijing on Thursday, said an EU arms code was more effective than the current ban.The level of human rights was a key criteria under the EU arms exports code, he said.""

Mr Straw said it was wrong to put China under the same embargo as countries such as Zimbabwe and Burma."
1032,"Defiant hunts put ban to the test

Thousands of hunt supporters have been out on the first day of hunting in England and Wales after the ban on hunting with dogs came into force.

The Countryside Alliance called on hunt supporters to meet as normal, but vowed to stay within the law.Before riding out with the hunt, former minister Kate Hoey told crowds: ""We will prevail and this law will have to be overturned.""And the BBC's Sarah Mukherjee, with the Beaufort Hunt in Badminton, Gloucestershire said several hundred people had gathered on foot to see the hunt, with 150 on horseback.BBC correspondent Simon Hall at Postbridge on Dartmoor in the West Country said 2,000 people had turned out to welcome the hunt.

Suffolk Chief Constable Alastair McWhirter, the Association of Chief Police Officers' spokesman on rural policing, told the BBC the law would be enforced, although the police would not break up hunts.Mike Hobday, from the league, said video evidence of the law being broken was to be passed onto police."
1033,"EU fraud clampdown urged

EU member states are failing to report fraud and irregularities in EU funds on a consistent basis, the UK's public spending watchdog has said.

He added that there is generally good co-operation with member states and the anti-fraud office on specific cases of fraud, with the statistics studied by NAO providing a ""good overview for planning strategic ways of detecting fraud"".
""Any fraud in other member states is potentially fraud against the UK taxpayer, given that we are the second largest net contributor to the Community,"" he said.""The government must take the opportunity afforded by the UK presidency of the EU to press the Commission and other member states to take an equally robust stance against fraud and irregularity, and raise overall standards of financial management.""""The quality of reporting does differ from member state to member state, and there is room for improvement,"" spokesman Jorg Wojahn said.The report said: ""Member states still do not report fraud and other irregularities to the European Anti-Fraud Office on a consistent basis.

The National Audit Office said although the latest figures showed reported fraud was falling, the EU still had no common definition of fraud."
1034,"Straw praises Kashmir moves

The UK has welcomed the decision by India and Pakistan to open a bus link across the ceasefire line dividing the disputed region of Kashmir.

A second bus service linking the Pakistani city of Lahore with Amritsar in India was also announced as well as a rail link between Rajasthan state and Pakistan's Sindh province.""This spirit of cooperation will, I hope, lead to many more measures that will benefit all in the region.The mountainous region of Kashmir has been a flashpoint between the two nuclear powers for more than 50 years.
In a statement, Mr Straw said the bus service between Srinagar and Muzaffarabad ""will be able to reunite families that have been divided for decades"".The bus service was one of several announcements made after a meeting of foreign ministers of both countries in Islamabad on Wednesday.""I warmly applaud the efforts of both India and Pakistan to make this happen."
1035,"It was overshadowed by Rwanda's emergence from the 100 days of slaughter, during which time the mass killings took place, and the women's fate was largely a taboo subject.UK helps raped Rwandan women

Britain is to give a Â£4m grant to help women survivors of the Rwandan genocide who were raped and often deliberately infected with HIV/Aids.

The five-year Department for International Development funding will enable more survivors to have access to anti-retroviral treatment.

This funding is intended to make anti-retrovirals and other care available for some 2,500 women.Until recently, very few of the women have had access to anti-retroviral treatment.The plight of the infected women was overshadowed for a long time.About 800,000 Tutsis and moderate Hutus were killed by Hutu militias after the assassination of an ethnic Hutu leader."
1036,"Howard denies split over ID cards

Michael Howard has denied his shadow cabinet was split over its decision to back controversial Labour plans to introduce ID cards.

Tory sources say senior party figures had argued vociferously against the ID card scheme.He also said he was confident shadow home secretary Mr Davis would ""set out the position very clearly"" when he stands up to debate the matter next week.Lib Dem home affairs spokesman Mark Oaten has branded the ID scheme a waste of money and ""deeply flawed"".Mr Howard said the police had said ID cards could ""help them foil a terror bomb plot in which people could lose their lives"".""I don't pretend that it is an easy decision but at the end of the day a decision has to be taken.""The Tory leader said his front bench team had reached a ""collective view"" after holding a ""good discussion"", but admitted it was ""not an easy issue""."
1037,"But he accused the government of trying to confuse the issue by putting the EU referendum question in the same bill as the ratification of the constitution, when they should be treated as ""two separate issues"".EU referendum question unveiled

The question to be asked in the referendum on the EU Constitution has been unveiled by the government.

The constitution will be incorporated into UK law if there is a yes vote in the referendum, expected in 2006.Jack Straw, who argues the constitution reflected a ""British vision for Europe"" and gives ""national governments a stronger grip"", has said the referendum could be held in spring 2006.""

Mr Blair signed the constitution at a ceremony in Rome in November, but had already made it clear the issue would be put to voters in a referendum.Neil O'Brien, director of anti-constitution group Vote No, said: ""The reality is that the government doesn't want to discuss the EU constitution ahead of the election because they know it is extremely unpopular with voters and with business.""

Liberal Democrat leader Charles Kennedy, who backs the constitution, said he expected the referendum would come in the first half of next year."
1038,"Labour MP Diane Abbot, who backs Mr Phillips' proposal of shortlists, said she had been elected along with three other ethnic minority MPs - Keith Vaz, Paul Boateng and Bernie Grant - in 1987 but it took another 10 years before another black woman was able to win a seat.Malik rejects all-black MP lists

A call for ethnic minority shortlists to boost the number of black and Asian MPs has been rejected by one of Labour's most senior Asians.

""I am a little older than Shahid and served on the National Executive Committee in the 1990s - I was the first black person on the NEC ... crossing our fingers and hoping we are going to get more black and Asian MP hasn't worked,"" she said.Appearing on BBC Radio 4's Today programme, Mr Malik, who is himself running for the seat of Dewsbury, acknowledged that so far women-only shortlists had failed to deliver a boost in the number of ethnic minority candidates.

""The shortlist strategy works for women and I believe that it can be made to work for black and Asian people.""On Tuesday Labour chairman Ian McCartney said his party was ""ambitious"" to improve black and Asian representation.That came after it emerged that one of Britain's most ethnically diverse constituency, West Ham, was to get a women-only shortlist for the next election following an NEC ruling.

"
1039,"Mr Davies, 60, said the mugging occurred 100 yards from the Nairobi Serena Hotel and equally close to the Anglican Cathedral in the centre of the city at dusk.

He had to spend an extra 24 hours in Nairobi before rejoining the rest of the House of Commons International Development Committee in Dafur after the mugging.Quentin Davies, the MP for Grantham and Stamford, was attacked in a notoriously dangerous park in the capital, Nairobi.""Naturally, I was afraid they would use a knife or gun, though they never produced any weapon,"" he said.""I knew I had to stay very calm and passive - you cannot fight six men"".Several people are being questioned over the attack.He was not hurt in the mugging on Saturday evening."
1040,"A meeting of Suffolk Coastal UKIP members is due to be held next week to discuss a replacement.A UKIP spokesman said Mr Betts-Green's resignation followed disclosures in the East Anglian Daily Times last month about his attendance at a BNP meeting.Nicholas Betts-Green, who had been selected to fight the Suffolk Coastal seat, quit after reports in a newspaper that he attended a BNP meeting.""He did once attend a BNP meeting.The former teacher confirmed he had attended the meeting but said that was the only contact he had with the group.Candidate resigns over BNP link

A prospective candidate for the UK Independence Party (UKIP) has resigned after admitting a ""brief attachment"" to the British National Party(BNP).

He did not like what he saw and heard and will take no further part of it,"" the spokesman added."
1041,"'Nuclear dumpsite' plan attacked

Plans to allow foreign nuclear waste to be permanently stored in the UK have been branded ""deeply irresponsible"" by the Liberal Democrats.

At the moment, this waste is stored at Sellafield, in Cumbria, in the form of glass bricks, untreated liquid waste or solid material in drums.""The Energy Act was supposed to help Britain clean up, but in order to pay for it we are becoming a nuclear dumpsite.In future, only highly-radioactive waste will be sent back to its country of origin, normally Germany or Japan, under armed guard.The government has confirmed intermediate level waste (ILW) that was to have been shipped back to its home countries will now be stored in the UK.Trade Secretary Patricia Hewitt said the new arrangements, revealed in a Commons written statement, would raise up to Â£680m for Britain's nuclear clean-up programme, under the new Nuclear Decommissioning Agency.""The nuclear industry is an economic, social and environmental millstone that hangs around Britain's neck."
1042,"Mr Blair's was asked last Wednesday if the government's new immigration plans, including a point system for economic migrants, would reduce net migration.Labour accused of broken pledge

Labour has already broken its pre-election promise on immigration before the ink has dried on its new pledge card, the Tories have claimed.

The prime minister told MPs: ""The abusers will be weeded out, and as a result of the end of chain migration [where families have an automatic right to settle], the numbers will probably fall.But Mr Clarke accused him of trying to score ""cheap political points"" by muddling immigration with asylum.

""

On Monday, Dr Fox told reporters: ""The prime minister has broken his word so many times in the past but now his promises do not even last a week.He told BBC Radio: ""If you are willing to lie about the reasons for going to war, I guess you are going to lie about anything at all.""""The Tories are purposely mixing together two separate issues of immigration and asylum."
1043,"They claim the trio benefited from the widespread misuse of postal votes during the 10 June election.Mr Afzal, Mr Islam and Mr Kazi deny conspiring to commit election fraud to deceive the returning officer.Police found the trio handling unsealed postal ballots in a deserted warehouse in the city during a late-night raid in June 2004, the hearing was told.Witnesses saw them carrying several bags from their campaign office, which the men drove to a warehouse on an industrial estate off Birch Road East, the court was told.

The case against the men follows a hearing into postal fraud allegations made against three other Birmingham councillors in the Bordesley Green ward, claims which are denied.""(When they went) back to make the seizure, every one of these 275 yellow ballot papers were placed neatly in envelope A and sealed.The court heard how documents were taken by police to the elections office next morning, where they were mixed in with other ballots."
1044,"Blair returns from peace mission

Prime Minister Tony Blair has arrived back from his diplomatic mission to the Middle East to try to resurrect the peace process.

He argued that Mr Sharon was committed to the internationally-agreed roadmap peace plan and said his bid to disengage from Gaza had to be part of the peace process, not the end of it.At a news conference following talks with Mr Blair, Mr Abbas said the British prime minister was ""in a unique position to help us progress in our peaceful pursuit"".The BBC's Paul Reynolds says the London conference will be a limited measure to shore up the leadership of Mahmoud Abbas, also known as Abu Mazen, who is expected to win the Palestinian presidential election on 9 January.Earlier, Mr Sharon again said he had not seen ""the slightest step"" the Palestinians were working to end terror attacks - though he acknowledged Palestinian leaders were in the middle of an election campaign that could be hampering their efforts.He added: ""Your endeavour to hold a conference in London is another example of your deep commitment to this purpose.""Mr Blair briefly visited the tomb of Yasser Arafat in Ramallah - the first world leader to do so."
1045,"A spokesman later said Mr Galloway had friends in common with Ms Hassan, who he described as a prominent anti-war activist, and that he was ""willing to do anything - go to Iraq or be an intermediary or anything that's necessary"".Galloway plea for hostage release

Ex-Labour MP George Galloway has appealed for the release of aid worker Margaret Hassan, kidnapped in Iraq.

""But this woman has been a prominent opponent of both the war and the preceding years of sanctions.He denied an earlier report that he planned to make a direct appeal to the kidnappers via the Al-Jazeera Arabic television channel.

She also urged Care International, the aid agency she works for, to close its office in Baghdad, and appealed for Iraqi women prisoners to be freed.Mr Galloway was expelled from the Labour party because of his staunch opposition to the war on Iraq.Speaking in London on Saturday at the first annual delegate conference of his newly-founded party, the Respect Coalition, he said: ""I have deliberately not involved myself before in any of these situations."
