,LexRank_algorithm summary
1115,"He is proposing a points system similar to Australia's but would avoid the quota system planned by the Tories.He said: ""We will establish a system ... which looks at the skills, talents and abilities of people seeking to come and work in this country, and ensures that when they come here they have a job and can contribute to the economy of the country.The Conservative Party Co-Chairman said the British electorate had a choice between a Labour government that had ""done nothing for eight years and will not set a limit"" on immigration and a Tory one that would impose quotas.

Mr Clarke, who will unveil his plans on Monday, said economic migration helped the UK but ""needed proper policing"".Clarke plans migrant point scheme

Anyone planning to move to the UK will have to pass a test to prove they can contribute to the country, Home Secretary Charles Clarke has said.

The home secretary said, by 2008, he wanted everyone given a visa and entering the UK to have their fingerprints taken, to ""ensure we can know everybody who is in the country"".""Tell that to the 44,000 doctors in the NHS and the 70,000 nurses without whom we would really see what pressure on the health service means,"" he said."
1116,"House of Lords law lords ruled against the detention measures last week.The law lords' ruling came on Charles Clarke's first day as home secretary last Thursday following David Blunkett's resignation.Lord Bingham - a senior law lord - said the rules were incompatible with the European Convention on Human Rights as they allowed detentions ""in a way that discriminates on the ground of nationality or immigration status"" by justifying detention without trial for foreign suspects, but not Britons.Clarke defends terror detentions

The home secretary has defended his decision not to release foreign terror suspects despite a legal ruling their detention breached human rights laws.

In a statement on the same day, Mr Clarke said: ""I will be asking Parliament to renew this legislation in the New Year.The detainees took their case to the House of Lords after the Court of Appeal backed the Home Office's powers to hold them without limit or charge.""

"
1117,"Voters 'reject EU by two to one'

British voters would reject the European constitution by two to one, according to a poll posing the question the government will put to the country.

The poll is believed to be the first to pose the question which the government has chosen for the upcoming referendum, expected in 2006.Another 7% said they would not vote at all.""If we reject this treaty, Britain will be isolated and weak in Europe,"" said Foreign Secretary Jack Straw, after the question was unveiled.The treaty was signed by all 25 current EU members in Rome last October and is due to come into force in November 2006, providing it is ratified by all member states - several of which will hold a referendum.The Daily Telegraph poll suggests that 45% of people would vote against the constitution and 24% in favour.Only 51% of those polled had made up their minds about the constitution."
1118,"""What we've got to do as a party - what I've got to do as a leader of this party - is to convey to people that what you see is what you get.""He said backing his party was not a wasted vote, adding that with the Lib Dems ""what you see is what you get"".But he said Mr Blair had lost the trust of the British people.Mr Kennedy also used his TV appearance to defend his party's plans to increase income tax to 50% for those earning more than Â£100,000, saying it would apply to just 1% of the population.Kennedy questions trust of Blair

Lib Dem leader Charles Kennedy has said voters now have a ""fundamental lack of trust"" of Tony Blair as prime minister.

Mr Blair has already spent a day with Five and Michael Howard is booked for a similar session.
Mr Kennedy said during his nearly 22 years in Parliament he had seen prime ministers and party leaders come and go and knew the pitfalls of British politics."
1119,"Terror detainees win Lords appeal

Detaining foreign terrorist suspects without trial breaks human rights laws, the UK's highest court has ruled.

In a blow to the government's anti-terror measures, the House of Lords law lords ruled by an eight to one majority in favour of appeals by nine detainees.The law lords said the measures were incompatible with European human rights laws.But Lord Walker of Gestingthorpe, the one law lord to oppose the appeal, said the anti-terror laws contained important safeguards against oppression.

Most of the men are being indefinitely held in Belmarsh prison, south London.Any foreign national suspected of links with terrorism can be detained or can opt to be deported.When the men were first held, they took their cases to the Special Immigration Appeals Commission (SIAC)."
1120,"In Mr Peston's book Mr Brown is alleged to have told the prime minister: ""There is nothing you could ever say to me now that I could ever believe.Mr Brown, meanwhile, is visiting Tanzania, Mozambique and Kenya to highlight the plight of many Africans hit by Aids, war and famine - issues which Mr Blair has also spoken out on.The new book claims Mr Prescott hosted a dinner in November 2003 where the prime minister told Mr Brown he would stand down before the next election because he had lost trust over the Iraq war.Mr Blair told MPs and peers: ""I know from everyone here, in Cabinet and government, nothing is going to get in the way of a unified Labour Party with a unified position and winning the third term people desperately need.""The prime minister and chancellor faced backbench discontent at Monday's meeting of the Parliamentary Labour Party over claims made in journalist Robert Peston's new book.Mr Blair then changed his mind in June 2004, after Cabinet allies intervened and amid suspicion the chancellor was manoeuvring against him, writes Mr Peston.The Tories have already accused the prime minister and his chancellor of behaving like ""schoolboys squabbling in a playground"".

"
1121,"Tory frontbencher John Redwood said Britain needed a slimmer government and lower taxes to be competitive.

The Tories say the strategic health authorities are not needed as it is better that local people, rather than officials, run hospitals and surgeries.

Tories unveil quango blitz plans

Plans to abolish 162 quangos have been unveiled by the Conservatives as part of their effort to show how government red tape can be cut.

""Far from improving public services, spending taxpayers' money on quangos has led only to more bureaucrats, more regulation and higher taxes.""The government has announced plans to cut 100,000 civil servants as part of its efficiency drive.They've seen their pensions knocked for six.His party leader, Michael Howard, argued a change in direction was needed to get a grip on spending."
1122,"Tory leader Michael Howard also faces a possible rebellion after deciding to back identity cards.The first cards would be issued in 2008 and, when he was introducing the bill, Mr Blunkett suggested Parliament could decide in 2011 or 2012 whether to make it compulsory for everybody to own the cards, although not to carry them.Mr Clarke, writing in The Times, accused some critics of ""liberal woolly thinking and spreading false fears"" by claiming ID cards would erode civil liberties.The Liberal Democrats oppose the plans.

He told BBC's Breakfast with Frost programme that Mr Clarke had a ""real opportunity"" on Monday following the departure of Mr Blunkett.Clarke faces ID cards rebellion

Charles Clarke faces his first real test as home secretary on Monday with a possible backbench rebellion over the controversial ID cards bill.

Mr Clarke, who took on the post on Thursday after David Blunkett quit, has rejected calls to ""pause"" on the bill."
1123,"Labour said the poster was ""not anti-Jewish, but anti-Tory"".

""

The campaign was particularly insensitive as it had come out at the same time as Holocaust Day, a ""difficult"" time for many Jewish people, Mr Mennear added.Labour pig poster 'anti-Semitic'

The Labour Party has been accused of anti-Semitism over a poster depicting Michael Howard and Oliver Letwin - who are both Jewish - as flying pigs.

The poster shows the two men's faces superimposed on winged pigs and says ""the day the Tory sums add up"".""I am not suggesting there is any deliberate intent, but these sort of things can cause great offence.""
It clearly wasn't thought through."
1124,"They said as Mr Mousa was in custody when he died, his case came within the UK's jurisdiction.Ministry of Defence lawyers argued the UK-controlled area of southern Iraq was outside European jurisdiction.The Iraqi families' lawyer argued that failing to adequately investigate the death breached the European Convention on Human Rights.

""There must be an effective public investigation by an independent official body.He was allegedly beaten to death while in the custody of the Queen's Lancashire Regiment.The High Court ruled on Tuesday that Baha Mousa's death in British custody in Iraq fell within the European Convention on Human Rights.Iraqis win death test case probe

The family of an Iraqi civilian allegedly killed by UK troops have won a challenge against the government's refusal to order a full inquiry.

"
1125,"The Tories have called for a change in the law so householders are only prosecuted if they use ""grossly disproportionate"" force.In cases involving householders attacking intruders prosecutors and police were ""determined"" they would be dealt with ""as swiftly and as sympathetically as possible"", it said.
That's exactly what should be the case and I believe the current law provides that.""And the law protects those who use ""something to hand"" as a weapon, said the leaflet published jointly by the Crown Prosecution Service (CPS) and Association of Chief Police Officers (ACPO).

The guidance published on Tuesday, said the police had a duty to investigate all incidents involving a death or injury.Burglar defence guidelines issued

Householders who injure or even kill intruders are unlikely to be prosecuted - providing they were acting ""honestly and instinctively"", new guidelines say.

Home Secretary Charles Clarke said: ""I believe in that old adage 'an Englishman's home is his castle'."
1126,"It had suggested judges should reduce sentences by a third for murderers who confessed at the earliest opportunity.Woolf murder sentence rethink

Plans to give murderers lighter sentences if they plead guilty have been watered down.

""What the new guideline on reduced sentences for guilty pleas does is increase the chances of convicting the guilty by bringing clarity to this process.At the time Lord Woolf, the Lord Chief Justice, had said the one third reduction would only be in extraordinary circumstances - for example, if people gave themselves up before their crime had even been detected.There was an outcry three months ago when the Sentencing Guidelines Council - led by Lord Woolf - published its proposals for England and Wales.Where it was appropriate to reduce the minimum term having regard to a plea of guilty, the maximum reduction would be one sixth, and should never exceed five years, it said.

The National Association of Probation Officers said the move would be ""political suicide""."
1127,"On Sunday, Deputy Mayor Nicky Gavron told the BBC's Politics Show she believed the Mayor of London would say sorry on Tuesday for offending the wider Jewish community.Ms Gavron said she thought Mr Livingstone's comments were ""inappropriate"" but she did not believe the mayor was anti-Semitic.he is in no way anti-Jewish, I wouldn't for a moment work with him if he were.Probe launched on Ken Nazi jibe

An investigation by the Standards Board is under way following allegations that Ken Livingstone has brought his office into disrepute.

""
""His administration is now in crisis.""A complaint was made to the body by the Board of Deputies of British Jews and the Commission for Racial Equality.

"
1128,"'Few ready' for information act

Thousands of public bodies are ill-prepared for the Freedom of Information Act, due to come into force next month, because of government failures, say MPs.

""Our report shows that in the past support and guidance from the DCA, which has overall responsibility for guiding the public sector through the process of implementation for the freedom of information regime, has been lacking.""Committee chairman Alan Beith said: ""The DCA has had four years to prepare for freedom of information, but with less than a month to go it appears that some bodies may not be well enough prepared.From next month anyone will have the power to demand information from a range of public bodies - from Whitehall departments to doctors' surgeries.The DCA had ""failed"" to provide early guidance on technical matters and shown a ""lack of consistent leadership"", the MPs found.But the government department responsible for implementing the change suffered from an ""unusually high turnover"" of staff within the department, which had ""seriously interfered"" with its work, said the Constitutional Affairs Select Committee.""
"
1129,"Mr Blunkett said he wanted ""to go back to a time when I was very young, when you expected the police to be part of the community and the community to be part of policing and where people were joined together in partnership making it work"".The plans also include the idea of allowing people join police forces at different levels rather than the traditional way of making everybody spend specific amounts of time as a constable before being promoted.Police forces were already ""buried"" under existing government initiatives and there was little in the latest plans to reassure them,"" said Mr Davis.Within two years, every force will be expected to keep to a ""coppers' contract"" on what kind of service the public can expect.He has also started to recruit 25,000 Community Support Officers (CSOs) and the new plans would allow all police forces to give them the power to detain suspects.The best performing police services would get more cash and extra freedoms, he said, but he would not shirk from stepping in where the public was being failed.Opposition parties also want more local policing to tackle nuisance behaviour and other crime but they accuse ministers of tying the police up with paperwork."
1130,"Lib Dems' new election PR chief

The Lib Dems have appointed a senior figure from BT to be the party's new communications chief for their next general election effort.

""I also know the party will be put under scrutiny in the media and from the other parties as never before - and we will need to show ourselves ready and prepared to counter the mischief and misrepresentation that all too often comes from the party's opponents.Mr Walkington said he wanted the party to be ready for any ""mischief"" rivals or the media tried to throw at it.

Sandy Walkington will now work with senior figures such as Matthew Taylor on completing the party manifesto.""My role will be to ensure this new public profile is effectively communicated at all levels,"" he said.Mr Walkington's new job title is director of general election communications.
Party chief executive Lord Rennard said the appointment was a ""significant strengthening of the Lib Dem team""."
1131,"One of the few Blair-era ministers to serve under Jim Callaghan, he was given the agriculture portfolio when Labour regained power in 1997.Mr Cunningham went on to become Tony Blair's ""cabinet enforcer"".During Labour's long period in opposition, Mr Cunningham held a number of shadow roles including foreign affairs, the environment and as trade spokesman.Mr Blair said he was a ""huge figure"" in Labour and a ""valued, personal friend"".

He has represented the constituency now known as Copeland since 1970.He quit the government in 1999 and in recent years has served as the chairman of the all-party committee on Lords reform and has been a loyal supporter of the government from the backbenches.
Jack Cunningham to stand down

Veteran Labour MP and former Cabinet minister Jack Cunningham has said he will stand down at the next election.

"
1132,"Mr Kilroy-Silk said that worked out at Â£143,000 per successful asylum seeker.Britain should take its fair share of asylum seekers under the United Nations Convention on Human Rights, he argued.The MEP said his party would only admit foreigners who were required because they had specific skills to offer.The Veritas leader said the only people to benefit from immigrants from places like Poland were employers, landlords, members of the 'metropolitan elite'.And Mr Kilroy-Silk said he wanted to spend an extra Â£500m a year to help provide for refugees abroad.
Kilroy unveils immigration policy

Ex-chatshow host Robert Kilroy-Silk has attacked UK policy on immigration saying Britain's open door approach is hitting low wage ""indigenous"" workers.

He said Veritas wanted to grant an amnesty for all those in Britain claiming asylum and who have children and deport everyone else."
1133,"Regiments' group in poll move

A regiments' campaign group is to target nine marginal Labour seats at the General Election.

As well as their election move, Save the Scottish Regiments will join other campaigners at a rally in London in the spring.Save the Scottish Regiments will also field a candidate against Armed Forces Minister Adam Ingram in East Kilbride.In trying to get rid of Scotland's historic regiments, Labour MPs will end up being scrapped themselves,"" he said.The group, which is unhappy at defence merger plans, is endorsing opposition candidates in nine seats.""A serving soldier knows that what Labour is proposing is right,"" he said.Scotland's only Conservative MP Peter Duncan said the Save the Scottish Regiments had done a ""superb job"" in fighting against defence cuts."
1134,"Row over 'police' power for CSOs

The Police Federation has said it strongly opposes giving Community Support Officers (CSOs) the power to detain suspects for up to 30 minutes.

CSOs can now use reasonable force to detain suspects for up to 30 minutes while they wait for police officers to arrive.She said more powers would mean more paperwork and less time on the street.

There are about 3,500 CSOs in England and Wales but the government intends to have 25,000 on the streets by 2008 at a cost of Â£50m. They already have powers to hand out fines for a wide range of offences.Ms Blears said the study shows CSOs are ""making a real difference"" in the fight against crime.Shadow home secretary David Davis said the research appeared to acknowledge that CSOs were having no discernible effect on crime figures.

But Home Office minister Hazel Blears defended the move saying it would give the civilian officers ""just that little bit of edge""."
1135,"""

The report recommended the governing bodies of sports have a say in the type of bets offered to punters, and for bookmakers to set up ""audit trails"" - something the new betting exchanges already do - to allow suspicious betting patterns to be traced.

As well as the growth of internet and mobile phone betting, there has been the creation of betting exchanges which allow punters to fix odds between themselves.Sport betting rules in spotlight

A group of MPs and peers has called for a tightening of regulations controlling betting on sport.

""You could get a bigger sentence for failing to pay your hotel bill criminally than you could for corruption in major sports.Lord Faulkner of Worcester, who chaired the inquiry, said: ""Whilst we accept that the greater part of sports betting is neither corrupt nor unfair to punters, the evidence convinces us that the growth of betting exchanges - because of the facility they provide to bet against a result - has increased the potential for corruption.Lord Condon, head of the International Cricket Council's anti-corruption unit, who originally made the call for longer prison sentences, said the two-year penalty was ""derisory"".The panel's aim was to try to define what constitutes cheating, assess how much might be going on and suggest what the government might do to put it right."
1136,"Mr McCabe is also looking for local authorities to become more efficient and save money in coming years.There are also warnings that unless funding to councils is increased in the next few years then services may have to be reduced.The finance minister has urged councils to limit increases but they have warned that they will struggle to maintain services unless funding is increased.Linda Knox, Director of the Scottish Local Authority Management Centre at Strathclyde University, said: ""With this current settlement the increase is slowing.The councils' umbrella organisation Cosla, which provided BBC Scotland with the indicative figures for next year, warned that councils would face a continuous struggle to maintain services.Councils prepare to set tax rises

Council tax in Scotland is set to rise by an average of about 4% in the coming year, BBC Scotland has learned.

""However, most of the increase is targeted to new initiatives and councils will experience difficulties in maintaining core services,"" a Cosla spokesman said."
1137,"Some government departments had doubled the number of documents being shredded ahead of the Freedom of Information Act's implementation on 1 January.The Freedom of Information Act will for the first time give members of the public access to government records previously kept secret for 30 years.Dr Lewis has called for an investigation by the information commissioner Richard Thomas.The Department of Work and Pensions destroyed nearly 37,000 files last year - up 22,000 on four years ago when the Act was passed.A Cabinet Office spokeswoman said the move was not about the new laws or ""the destruction of important records"".Departments for defence, environment and trade, which had all increased file destruction, said they were following rules governing public records.Government guidance said e-mails should only be deleted if they served ""no current purpose"", Mr Thomas said."
1138,"MPs assess Scots fishing industry

A group of MPs are on a two-day fact-finding mission to Scotland to gather evidence for a report into the UK's fishing industry.

MPs are deciding whether to recommend a new system of ""community quotas"" to conserve fish stocks.Members of Westminster's environment, food and rural affairs committee will be touring fish markets and talking to fish processors.They will also talk to Fisheries Minister Ross Finnie and scientists.They will also speak to Mr Finnie, representatives of the Royal Society and the Sea Fish Industry Authority.The scheme is a variation on the local management committees already being established by the European Union.

Committee chairman Austin Mitchell said some way has to be found of harvesting mixed fisheries without wasting stocks.
"
1139,"Ms Kelly, who is Catholic, is reported to be ""pro-life"" and has opposed embryo research.Professor Rothwell, who is also vice-president of research at Manchester University, told the Times Higher Education Supplement it would worry her ""a great deal"" if ministers were anti-stem cell.Ms Kelly has not set out her detailed views on either issue yet, but has said she intends to put parents first in education policy.Research fears over Kelly's views

Scientists have expressed concerns that new education secretary Ruth Kelly's religious views could hamper vital scientific research.

""You can't have a higher education policy that is at odds with the government's science policy.""Concerns have also been raised by ""pro-choice"" organisations that Ms Kelly's views might affect sex education policy in schools.

Medical Research Council Professor Nancy Rothwell said Ms Kelly's views mattered as she was responsible for training future scientists."
1140,"Army chiefs in regiments decision

Military chiefs are expected to meet to make a final decision on the future of Scotland's Army regiments.

For a brief time, there was speculation the prime minister might consider the plan, but that now seems unlikely.In October, the Council of Scottish Colonels proposed the merger of the Royal Scots and the King's Own Scottish Borderers into a single battalion.

""They are very much not for the good and will destroy Scotland's regiments by moulding them into a single super regiment which will lead to severe recruitment problems, a loss of local connections to those regiments and a loss to Scotland of an important part of her heritage and, most importantly, her future - the regiments are the envy of armies around the world.""The proposals include cutting Scotland's six single-battalion regiments to five and merging these into a super regiment.The proposals to either merge or amalgamate the six regiments into a super regiment sparked a political outcry, with Labour backbenchers and opposition politicians opposing the plan.He said: ""They don't want to get rid of the history or the traditions of the regiment or the local connections - far from it, all they want to do is make sure they can transfer people easily across regiments and deploy them more flexibly."""
1141,"The report also showed women were 18% more likely than men to enter higher education in 2000 - up from 6% in 1994.The Higher Education Funding Council for England said more people went to university between 1994 and 2000.The Higher Education Minister, Kim Howells, said: ""We are working in schools to raise the attainment and aspiration of young people in disadvantaged areas.""Higher standards in schools would lead to greater participation in higher education.Sir Howard said the report highlighted the ""entrenched divisions"" between rich and poor areas, but added it was a social as much as an educational problem.Tuition fees and student loans in England and Wales - and the different fee regime in Scotland - did not seem to have affected the choices of young people, even the poorest.He told BBC News: ""We know, once children from deprived backgrounds get into university, they do very well."
1142,"Kennedy to make temple address

Charles Kennedy is set to address 2,000 people at a Hindu temple as part of an appeal to ethnic minority voters.

Saturday's speech comes days after the Lib Dems launched their ethnic minority mini-manifesto.Mr Kennedy will say that a ""balanced approach"" to tackling terrorism would mean ""tough measures to make Britain safe - but not at the expense of people's fundamental legal rights like has happened at Belmarsh"".Mr Kennedy will also highlight the anger among people of ""all races"" over the Iraq war and call for a ""balanced approach"" to tackling terrorism.The Liberal Democrat leader will visit the Shri Swaminarayan Mandir Temple in Neasden, north west London.Mr Kennedy is to tell the audience: ""Many people in Britain, of all races, cultures and religions, were angry about the way we were taken to war in Iraq.He will say it also means acting through the United Nations on terrorism."
1143,"""Our work with the French government...has been hugely successful,"" said Mr Blunkett.David Blunkett in quotes

David Blunkett - who has resigned as home secretary - built his reputation as a plain-speaking Yorkshire man.

 

 ""

""I accepted by necessity we have to have prevention under a new category which is to intervene before the act is committed, rather than do so by due process after the act is committed when it's too late,"" he said in reference to new anti-terrorism measures. 

 You have just got to think for a minute: is it too early to open a bottle?""
""You wake up and you receive a phone call - Shipman's topped himself.""I foolishly thought as this was a celebrity edition it would be more relaxed than normal."" 

 ""Strengthening our identity is one way or reinforcing people's confidence and sense of citizenship and well-being."" 

 "
1144,"Televised debates have become the high point of the US presidential election campaigns.
No election TV debate, says Blair

Tony Blair has said he will not take part in a TV debate with his political rivals ahead of the next election.

Before the 2001 election, plans for a debate between Mr Blair, William Hague and Charles Kennedy collapsed.In October Tory leader Michael Howard said Mr Blair would be running scared if he refused calls to go head-to-head.In recent years the leader of the opposition has always called for a debate, although it has never happened.In 1997 a debate between Mr Blair and John Major was also cancelled when a format could not be agreed.""We answer this every election campaign and, for the reasons I have given before, the answer is no,"" he said at his monthly news conference."
1145,"A general election is the best chance most pressure groups get to make a real impact on government policy.The issue that we think is the most important for this election is choice.We would like the support of political parties but I think a general election is very much to do with pledges MPs make to their electors.But there is no guarantee they will vote for a Labour government this time around.We haven't worked out specific plans but I imagine we will lobby political parties and incumbent MPs.Everything we do will reduce animal suffering and in time that will lead to a ban.

The idea is that we open up communications between members of the public and the politicians.

"
1146,"As far as the timing of the prime minister's press conference is concerned, there are two options.He probably had good reason to be alarmed because the newspapers had been full of stories about the claimed open warfare between the two men.

By now Mr Blair had moved from irritation mode to his barely disguised fury setting.This time the alleged rift is over who should take the credit for the government's global aid and debt initiatives, particularly in the wake of the tsunami disaster - an issue many hoped and believed was above such things.All this came amid fresh claims that Mr Brown was still seething that he had been excluded from a prominent role in general election planning and had, as a result, started to set out his own platform.And he again heaped praise on Mr Brown saying he was doing a great job, and would continue doing it - although he would not commit to any job for Mr Brown after the election.

Either way, the effect was the same - to overshadow the big announcements of government policy on a hugely pertinent issue."
1147,"The author's sources, all unnamed ""allies"" of Mr Blair and Mr Brown, said the prime minister felt the Iraq war had undermined him and that he was no longer an asset to the Labour Party.

He said the prime minister should sack Mr Brown, but did not believe Mr Blair was strong enough to do so.There was speculation the pair were trying to outdo each other's response to the disaster.

Blair 'said he would stand down'

Tony Blair promised Gordon Brown he would stand down before the next election, a new book about the chancellor claims.

The book by Sunday Telegraph journalist Robert Peston said the pair had ""mutual animosity and contempt"" for each other.The book, serialised in the Sunday Telegraph, alleges that Mr Blair told the chancellor at a dinner hosted by deputy PM John Prescott in November 2003 of his intention to stand down.The book, Brown's Britain, said Tony Blair felt by November 2003 he had lost voters' trust.

"
1148,"According to a new book, Brown's Britain, Mr Blair went back on a pledge to make way for Mr Brown after Cabinet allies intervened in June 2004.Former welfare minister Frank Field MP said the prime minister should sack Mr Brown, but did not believe Mr Blair was strong enough to do so.

But the prime minister said he had discussed these claims with the chancellor and dismissed them as a ""load of nonsense"".Mr Blair said: ""I've dealt with this six months ago.""You don't do deals over jobs like this,"" the prime minister told BBC One's Breakfast with Frost programme.Blair dismisses quit claim report

Tony Blair has dismissed reports he told Gordon Brown he would quit before the next general election.

Mr Blair said the claims were ""reheated from six months ago"" and that he was concentrating on running the country."
1149,"Then there are the actions of the men themselves.There are signs that the two men appreciate the dangers and both want to put a lid on all the speculation.For his part, Mr Brown insists his only motivation was to get Labour re-elected.

Could rivalry overshadow election?

Tony Blair and Gordon Brown are desperately trying to stuff the genie of their rivalry back into the bottle.

Gordon Brown sets out what is seen as a rival manifesto then appears to embark on his own personal campaign.And Mr Brown pointedly refused to deny claims the prime minister had reneged on a deal to hand him the premiership last year.Lord Haskins even suggested Mr Blair should reinstate Mr Brown as the central figure in the election planning.

"
1150,"""

In a separate interview with BBC political editor Andrew Marr, Mr Brown said: ""It's very important that we all do what we can in a unified way to ensure the election of a Labour government.Fresh speculation of a rift recently followed Mr Blair and Mr Brown's separate responses to the Asian tsunami.According to a new book, Brown's Britain by Sunday Telegraph journalist Robert Peston, Mr Blair went back on a pledge to make way for Mr Brown after Cabinet allies intervened in June 2004.

Brown in appeal for Labour unity

Gordon Brown has made an appeal for unity after reports claimed Mr Blair went back on a pledge to stand down before the next general election.

""The only reason why we are in government is to get on with the job in a unified way to deal with the challenges facing this country.""His only ""motivation"" was to ensure Labour was re-elected, he insisted.Liberal Democrat parliamentary chairman Matthew Taylor said the personal ambition of Mr Blair and Mr Brown was ""getting in the way of good government"".
"
1151,"A new book, Brown's Britain by Sunday Telegraph journalist Robert Peston, says Mr Blair went back on a pledge to make way for Mr Brown after Cabinet allies intervened in June 2004.

Mr Blair told the Parliamentary Labour Party (PLP) on Monday: ""I know from everyone here, in Cabinet and government, nothing is going to get in the way of a unified Labour Party with a unified position and winning the third term people desperately need.""Mr Brown allegedly said he could no longer believe anything Mr Blair told him.Ex-Labour leader Neil Kinnock said Mr Blair and Mr Brown could only deal with the media frenzy by continuing to say they would not allow a row to damage Labour or British interests.He told BBC News: ""Those who co-operate or inspire these books, in my view, have to know that, whatever the short-term political or personal advantage that they think they might secure, they always do it by damaging the record, the unity and the re-election chances of the Labour Party and the government.""A new book says the prime minister went back on a pledge to Mr Brown to stand down before the next general election.Mr Brown says he discussed the election campaign with Mr Blair on Saturday and promised to play his part.

"
1152,"The new book claims Mr Prescott hosted a dinner in November 2003 where the prime minister told Mr Brown he would stand down before the next election because he had lost trust over the Iraq war.Relations between Mr Brown and Mr Milburn are widely reported to be cool ever since Mr Blair brought the latter back into the Cabinet to run Labour's election campaign, a role successfully carried out by Mr Brown in both 1997 and 2001.

Labour's Paul Flynn said Mr Blair and Mr Brown had a ""scorching"" from MPs adding: ""It was a Parliamentary Labour Party meeting like no other.Mr Blair told the Parliamentary Labour Party on Monday: ""I know from everyone here, in Cabinet and government, nothing is going to get in the way of a unified Labour Party with a unified position and winning the third term people desperately need.Mr Prescott said there were occasional disagreements in any government.Mr Blair has insisted he has done no deals over the premiership while Mr Brown says he will not let ""gossip"" distract him from helping a unified election campaign.Lord Campbell-Savours, a former MP, challenged Mr Brown to deny reports that he had told the prime minister he did not believe anything he said."
1153,"Labour MPs' fears over squabbling

If there is one thing certain to stiffen the spines of Labour MPs it is the prospect of losing their seats at a general election.

The dressing down appears to have done the trick, with Mr Brown joining his alleged rival Alan Milburn - who the prime minister put in charge of election planning in Mr Brown's stead - and Deputy Prime Minister John Prescott at an election poster launch.The views expressed by both backbenchers and Labour peers over the claimed squabbling between the two men starkly demonstrated the widely-held view within the Labour party that the two most powerful figures in the government are jeopardising the next election.Even as the MPs were expressing their fears it emerged that, while Mr Brown is in Africa for a week, the prime minister is to deliver a keynote speech on election themes for a third term.Secondly it has also underlined the view that the election campaign has, to all intents and purposes, kicked off.It is a sentiment that is now running throughout the Labour benches with MPs eager to underline the message to their leaders to stop the squabbling and get on with the job at hand.

We remember the 1980s""."
1154,"I care about myself and when the sun's shining I think - fantastic,"" replied Mr MacKenzie.

""When the prime minister turns to the chancellor and says how much have we got in the coffers Mr Brown, he says well, prime minister, bad news, all the houses in Britain have been painted but actually nobody has paid any tax,"" observed Mr MacKenzie.But opinion is divided on whether any of the potential candidates unearthed so far have got what it takes to make it in politics.""Any of them would make competent MPs,"" former independent MP Martin Bell insisted on BBC Radio 4's Today programme.

But the real star of the show is Kelvin MacKenzie, in the Simon Cowell, Mr Nasty seat.

His advice for one young contestant was to ""get a haircut and a brain transplant"".Mr Lim later reduced the panel to fits of giggles as he outlined his plan to make people do community service instead of paying taxes."
1155,"Mr Brown was joined at the launch by John Prescott and Alan Milburn, the man controversially put in charge of election planning by Mr Blair.Mr Brown later told reporters: ""Of course I trust the prime minister.""Mr Blair told MPs and peers: ""I know from everyone here, in Cabinet and government, nothing is going to get in the way of a unified Labour Party with a unified position and winning the third term people desperately need.""The new book claims Mr Prescott hosted a dinner in November 2003 where the prime minister told Mr Brown he would stand down before the next election because he had lost trust over the Iraq war.Downing Street cited that comment when reporters' suggested Mr Brown had pointedly failed to deny claims he had once told Mr Blair: ""There is nothing you could ever say to me now that I could ever believe"".Labour seeks to quell feud talk

Labour's leadership put on a show of unity at a campaign poster launch after MPs criticised Tony Blair and Gordon Brown over reports of their rift.

It follows a new book charting disputes between prime minister and chancellor.

"
1156,"But the pair were all smiles on Tuesday morning, as they joined John Prescott to unveil Labour's latest poster campaign.And, more specifically, to demonstrate the ""central role"" Mr Brown will play in the election campaign, despite being sidelined as campaign chief in favour of Mr Milburn.

Labour's election love-in

Peace and love have been in short supply in the Labour party in recent days.

But it was Mr Milburn who took centre stage, speaking of the ""positive campaign"" the party hoped to stage in the ""coming weeks and months"".

The chancellor walked side-by-side with Mr Milburn, pointedly exchanging chit chat, as they approached the microphone.The event was carefully stage-managed to underline Cabinet unity.If press reports are to be believed, Alan Milburn and Gordon Brown have been at each other's throats over the contents of Labour's next election manifesto."
1157,"Mr Peston's book claimed that Mr Brown told Mr Blair: ""There is nothing you could ever say to me now that I could ever believe.""Howard taunts Blair over splits

Tony Blair's feud with Gordon Brown is damaging the way the UK is governed, Tory leader Michael Howard has claimed in a heated prime minister's questions.

The prime minister and chancellor faced backbench discontent at Monday's meeting of the Parliamentary Labour Party over claims made Mr Peston's book.
It claims Mr Blair said in November 2003 he would stand down as prime minister before the next election.But before doing so, he insisted he still trusted Mr Blair, despite claims to the contrary in a new book.

Later at their poster launch Tory co-chairman Liam Fox said his party would exploit opportunities to show how ""juvenile"" the prime minister and chancellor were.

The Tory leader countered that such agreements had been struck twice at dinners with the chancellor."
1158,"The result is of course, both prisoners confess, so the sheriff does not have to let either one off.It's no good just exhorting people to stop buying arms, or to stop arguing when all their incentives encourage them to carry on.Both prisoners' individual logic was to behave that way, even though both would have been better if they had somehow agreed to shut up.It's often referred to as the ""prisoner's dilemma"", based on a parable much told in economics degree courses... about a sheriff and two prisoners.He tells each prisoner separately, that if they confess - and they are the only one to confess - they'll be let off their crime.Their successive attempts to end the argument with their last word ensure the argument goes on and on and on.What economics tells us is that once you're in a prisoners' dilemma - unless you are repeating the experience many times over - it's hard to escape the perverse logic of it."
